name,815,1119,977,3176,498,3700,2344,3092,2296,2476,2633,3230,4393,3268,406,427,795,1238,2477,2659,2963,1998,3377,1311,970
The Pacifier,0,0,5,3,0,0,0,0,0,3,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0
The Game,0,5,0,3,2,0,0,5,4,0,4,4,0,4,0,0,4,3,4,0,4,4,3,3,0
Major League,0,5,0,4,0,0,3,0,2,3,0,4,5,0,4,3,2,0,3,0,4,4,0,3,0
A Streetcar Named Desire,3,0,0,3,4,2,0,5,3,0,5,0,0,0,5,0,5,4,0,4,3,3,4,0,0
Lilo and Stitch,4,4,0,0,0,0,4,4,3,5,0,4,3,0,0,4,0,0,0,0,3,0,0,4,4
The Phantom of the Opera: Special Edition,0,3,5,2,0,0,0,3,0,4,0,3,4,5,0,0,0,0,0,4,0,0,2,0,2
Sex and the City: Season 4,5,0,5,0,0,1,5,5,0,5,0,0,0,0,0,0,0,3,0,5,0,4,1,0,4
Rabbit-Proof Fence,4,0,0,0,0,1,0,0,2,4,5,0,4,3,0,0,0,4,0,0,0,0,5,0,0
The Deer Hunter,3,0,3,5,4,0,1,0,3,3,5,2,4,0,5,4,0,5,4,5,5,0,0,0,0
First Knight,0,3,4,3,0,1,3,0,3,0,0,3,4,5,2,3,0,0,3,3,3,3,4,0,5
The Hand that Rocks the Cradle,0,0,3,0,0,0,0,0,3,0,4,0,5,0,0,4,3,0,3,0,2,4,0,0,4
Seven Samurai,5,5,0,0,5,3,0,0,1,0,5,0,0,3,4,0,4,0,3,0,0,0,2,0,0
Boyz N the Hood,4,4,3,2,3,0,0,0,0,4,5,4,5,0,5,3,5,3,3,0,3,4,0,3,4
Igby Goes Down,1,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0
Dangerous Minds,0,0,3,3,0,3,3,2,2,0,0,0,5,0,0,3,0,2,0,0,2,3,3,0,3
Taxi,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,5
Duplex (Widescreen),0,0,2,2,0,1,0,0,0,0,4,1,3,0,0,3,0,0,0,3,3,4,0,1,4
Roger & Me,4,4,0,0,5,0,0,0,0,0,5,0,0,0,3,0,5,4,2,0,0,0,0,4,0
Charlotte`s Web,2,4,0,0,0,1,5,4,0,4,0,2,5,0,0,0,0,3,4,2,2,0,3,4,0
Monty Python`s The Meaning of Life: Special Edition,5,4,0,0,0,3,3,0,0,4,0,4,0,0,0,0,5,5,5,4,0,0,4,4,0
Mississippi Burning,4,0,0,0,3,4,0,0,3,3,5,1,5,0,0,4,4,0,4,0,4,0,0,4,4
Ace Ventura: When Nature Calls,0,3,2,3,0,3,3,3,0,2,0,3,5,0,4,3,4,0,0,2,3,0,3,1,4
Wild Things,0,5,3,3,0,1,3,2,0,0,4,0,0,0,4,3,4,0,3,0,4,4,0,4,5
Back to the Future Part III,0,0,3,3,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,0,4,4,0,0,0
